OGLE-BLG-RRLYR-00136  RRab  17:11:21.92 -32:42:31.6 
OGLE-BLG-RRLYR-00137  RRc   17:11:23.48 -32:50:18.9 
OGLE-BLG-RRLYR-00138  RRab  17:11:25.70 -33:16:44.1 
OGLE-BLG-RRLYR-00139  RRab  17:12:16.86 -32:06:07.5 
OGLE-BLG-RRLYR-00140  RRc   17:12:20.28 -31:46:29.5 
OGLE-BLG-RRLYR-00141  RRab  17:12:23.77 -32:07:10.0 
OGLE-BLG-RRLYR-00142  RRc   17:12:25.64 -29:07:47.8 
OGLE-BLG-RRLYR-00143  RRab  17:12:26.60 -29:08:28.1 
OGLE-BLG-RRLYR-00144  RRc   17:12:28.74 -32:13:07.3 
OGLE-BLG-RRLYR-00145  RRab  17:12:29.25 -31:52:29.9 
OGLE-BLG-RRLYR-00146  RRab  17:12:30.45 -29:52:44.0 
OGLE-BLG-RRLYR-00147  RRab  17:12:32.66 -28:44:33.7 
OGLE-BLG-RRLYR-00148  RRab  17:12:33.20 -29:22:12.9 
OGLE-BLG-RRLYR-00149  RRab  17:12:33.92 -29:13:47.4 
OGLE-BLG-RRLYR-00150  RRab  17:12:34.40 -29:35:45.7 
OGLE-BLG-RRLYR-00151  RRab  17:12:38.37 -29:04:22.2 
OGLE-BLG-RRLYR-00152  RRc   17:12:39.30 -28:46:47.0 
OGLE-BLG-RRLYR-00153  RRc   17:12:39.63 -29:17:20.4 
OGLE-BLG-RRLYR-00154  RRc   17:12:41.55 -28:49:35.5 
OGLE-BLG-RRLYR-00155  RRab  17:12:42.28 -32:07:12.6 
OGLE-BLG-RRLYR-00156  RRc   17:12:42.35 -29:35:49.9 
OGLE-BLG-RRLYR-00157  RRab  17:12:43.03 -29:36:50.5 
OGLE-BLG-RRLYR-00158  RRab  17:12:44.24 -29:37:30.9 
OGLE-BLG-RRLYR-00159  RRab  17:12:48.18 -28:52:30.9 
OGLE-BLG-RRLYR-00160  RRab  17:12:50.18 -29:01:20.7 
OGLE-BLG-RRLYR-00161  RRab  17:12:51.80 -31:55:45.4 
OGLE-BLG-RRLYR-00162  RRab  17:12:53.70 -29:28:41.1 
OGLE-BLG-RRLYR-00163  RRab  17:12:56.29 -31:47:45.3 
OGLE-BLG-RRLYR-00164  RRc   17:12:56.68 -28:47:55.4 
OGLE-BLG-RRLYR-00165  RRab  17:13:01.32 -32:01:55.0 
OGLE-BLG-RRLYR-00166  RRab  17:13:03.59 -32:10:45.6 
OGLE-BLG-RRLYR-00167  RRc   17:13:04.23 -29:42:15.9 
OGLE-BLG-RRLYR-00168  RRc   17:13:06.23 -31:49:51.2 
OGLE-BLG-RRLYR-00169  RRab  17:13:06.38 -32:10:03.3 
OGLE-BLG-RRLYR-00170  RRc   17:13:07.54 -29:21:14.2 
