OGLE-GD-RRLYR-00113  RRab  06:24:31.97 -02:18:33.2  GD2430.06.4450                                   
OGLE-GD-RRLYR-00114  RRab  06:24:33.69 +13:15:44.5  GD1795.29.205                                    
OGLE-GD-RRLYR-00115  RRab  06:24:37.56 +10:04:20.7  GD1786.05.4573                                   
OGLE-GD-RRLYR-00116  RRab  06:24:49.91 +16:20:35.1  GD1809.12.500                                    
OGLE-GD-RRLYR-00117  RRd   06:24:51.98 +08:23:02.6  GD1777.29.877                                    
OGLE-GD-RRLYR-00118  RRab  06:25:44.54 +11:51:23.8  GD1790.20.3567                                   
OGLE-GD-RRLYR-00119  RRc   06:26:25.16 +18:13:25.6  GD1813.26.130                                    
OGLE-GD-RRLYR-00120  RRab  06:26:34.48 +07:39:57.6  GD1777.10.334                                    
OGLE-GD-RRLYR-00121  RRc   06:26:38.94 +14:39:13.9  GD1800.26.3166                                   
OGLE-GD-RRLYR-00122  RRab  06:26:55.34 +16:55:09.1  GD1808.16.97                                     
OGLE-GD-RRLYR-00123  RRab  06:28:05.93 +08:43:08.1  GD1776.24.3720                                   
OGLE-GD-RRLYR-00124  RRab  06:28:10.69 -01:11:22.2  GD2421.25.1374                                   
OGLE-GD-RRLYR-00125  RRab  06:28:36.08 +02:08:34.7  GD2418.15.140                                    
OGLE-GD-RRLYR-00126  RRab  06:28:37.14 +05:11:25.1  GD1762.32.123                                    
OGLE-GD-RRLYR-00127  RRc   06:29:02.70 -02:10:08.4  GD2422.31.318                                    
OGLE-GD-RRLYR-00128  RRab  06:29:18.02 +11:40:53.3  GD1789.05.48                                     
OGLE-GD-RRLYR-00129  RRab  06:29:39.17 +02:48:24.4  GD2418.30.14                                     
OGLE-GD-RRLYR-00130  RRc   06:29:50.55 +03:32:34.7  GD1757.13.2409                                   
OGLE-GD-RRLYR-00131  RRab  06:29:53.63 +13:26:47.9  GD1794.12.3472                                   
OGLE-GD-RRLYR-00132  RRc   06:30:23.55 +13:44:20.5  GD1794.20.3703                                   
OGLE-GD-RRLYR-00133  RRd   06:31:05.22 -02:35:12.1  GD2422.11.3454                                   
OGLE-GD-RRLYR-00134  RRab  06:31:55.25 +15:31:54.5  GD1803.01.5258                                   
OGLE-GD-RRLYR-00135  RRc   06:32:07.09 +04:16:08.5  GD1762.01.91                                     
OGLE-GD-RRLYR-00136  RRab  06:32:45.52 +07:51:56.5  GD1770.16.4154                                   
OGLE-GD-RRLYR-00137  RRab  06:33:32.39 -03:39:24.5  GD2414.07.664                                    
OGLE-GD-RRLYR-00138  RRab  06:33:37.63 -05:05:59.2  GD2416.32.3305                                   
OGLE-GD-RRLYR-00139  RRc   06:34:14.60 +00:09:51.7  GD1742.06.4530                                   
OGLE-GD-RRLYR-00140  RRab  06:34:32.55 -06:09:53.7  GD2416.05.73                                     
OGLE-GD-RRLYR-00141  RRab  06:34:48.38 -06:14:20.2  GD2417.30.3205                                   
OGLE-GD-RRLYR-00142  RRab  06:34:48.82 -05:25:53.4  GD2416.22.3956                                   
