OGLE-GD-RRLYR-00202  16.967    -    0.25503288 0.00000098  7000.18160  0.236  0.092   -    0.000   -  
OGLE-GD-RRLYR-00203  12.833    -    0.34875082 0.00000082  7000.12511  0.262  0.130 5.378  0.094 4.122
OGLE-GD-RRLYR-00213  15.207 16.465  0.28105544 0.00000309  7000.26114  0.295  0.163 4.736  0.108 3.013
OGLE-GD-RRLYR-00214  15.310 16.763  0.26945227 0.00000564  7000.22765  0.239  0.198 4.086  0.000   -  
OGLE-GD-RRLYR-00216  15.821 17.453  0.33950342 0.00000550  7000.17790  0.233  0.087 4.926  0.068 4.103
OGLE-GD-RRLYR-00218  15.055    -    0.24570105 0.00000021  7000.11092  0.221  0.142 4.665  0.081 3.727
OGLE-GD-RRLYR-00219  17.296 18.433  0.29037378 0.00000464  7000.16388  0.317  0.191 4.624  0.095 3.362
OGLE-GD-RRLYR-00227  15.170    -    0.33938469 0.00000224  7000.08364  0.293  0.033 4.662  0.150 3.573
OGLE-GD-RRLYR-00232  16.317 17.483  0.32479279 0.00000526  7000.24762  0.278  0.191 4.956  0.091 3.461
OGLE-GD-RRLYR-00234  15.336    -    0.23894296 0.00000180  7000.11794  0.249  0.168 5.052  0.044 5.673
OGLE-GD-RRLYR-00238  15.898 16.922  0.26809791 0.00000408  7000.10702  0.241  0.115 4.599  0.088 4.073
OGLE-GD-RRLYR-00244  16.799 18.300  0.24608777 0.00000617  7000.24079  0.217  0.129 4.962  0.000   -  
OGLE-GD-RRLYR-00246  16.131 17.181  0.30873115 0.00000964  7000.26509  0.234  0.075 4.825  0.093 4.769
OGLE-GD-RRLYR-00248  16.882 18.277  0.34150099 0.00001044  7000.03949  0.249  0.095 4.847  0.089   -  
OGLE-GD-RRLYR-00250  17.409    -    0.28403302 0.00000083  7000.25619  0.265  0.133 5.087  0.000   -  
OGLE-GD-RRLYR-00256  17.035    -    0.32117180 0.00000117  7000.06262  0.226  0.077   -    0.000   -  
OGLE-GD-RRLYR-00257  15.726    -    0.37052828 0.00000056  7000.36846  0.305  0.146 4.973  0.075 3.341
OGLE-GD-RRLYR-00260  12.911 13.930  0.26613145 0.00000377  7000.17127  0.260  0.102 4.780  0.075 3.647
OGLE-GD-RRLYR-00261  15.066 15.959  0.26729069 0.00000348  7000.22400  0.205  0.146 4.497  0.000   -  
OGLE-GD-RRLYR-00266  15.590 16.381  0.27582198 0.00000357  7000.07785  0.235  0.097 4.676  0.069 4.135
OGLE-GD-RRLYR-00278  16.481 17.551  0.33350884 0.00000879  7000.00994  0.262  0.085 4.323  0.103 3.626
OGLE-GD-RRLYR-00280  17.669    -    0.29161870 0.00000069  7000.05874  0.356  0.253 4.418  0.000   -  
OGLE-GD-RRLYR-00296  18.241    -    0.33720712 0.00000153  7000.20402  0.278  0.000   -    0.000   -  
OGLE-GD-RRLYR-00301  15.218 16.609  0.39916594 0.00001707  7000.25641  0.140  0.192 5.027  0.073 5.075
OGLE-GD-RRLYR-00304  17.863 18.603  0.29697770 0.00001033  7000.10452  0.308  0.183 4.475  0.000   -  
OGLE-GD-RRLYR-00305  15.022 15.711  0.23034536 0.00000251  7000.07549  0.208  0.137 4.580  0.038 3.229
OGLE-GD-RRLYR-00311  16.060    -    0.32666636 0.00000039  7000.02031  0.302  0.137 4.928  0.094 3.641
OGLE-GD-RRLYR-00312  12.840 13.694  0.32539104 0.00000143  7000.31318  0.317  0.184 4.829  0.107 3.181
OGLE-GD-RRLYR-00324  17.666    -    0.27476118 0.00000108  7000.01334  0.220  0.204   -    0.230 4.270
