OGLE-GD-RRLYR-00100  RRab  06:21:42.37 +03:20:11.8  
OGLE-GD-RRLYR-00101  RRab  06:22:23.37 +14:36:26.0  
OGLE-GD-RRLYR-00102  RRab  06:22:38.95 +01:24:40.8  
OGLE-GD-RRLYR-00103  RRc   06:22:44.33 +18:31:53.3  
OGLE-GD-RRLYR-00104  RRab  06:22:51.08 +12:44:58.5  
OGLE-GD-RRLYR-00105  RRc   06:22:58.30 +07:43:58.3  
OGLE-GD-RRLYR-00106  RRab  06:23:18.31 +18:08:56.4  
OGLE-GD-RRLYR-00107  RRab  06:23:20.22 +16:03:59.6  
OGLE-GD-RRLYR-00108  RRab  06:23:21.77 +07:39:54.3  
OGLE-GD-RRLYR-00109  RRab  06:23:26.22 +00:05:45.8  
OGLE-GD-RRLYR-00110  RRab  06:23:33.98 -01:57:45.7  
OGLE-GD-RRLYR-00111  RRab  06:23:53.27 +14:06:36.5  
OGLE-GD-RRLYR-00112  RRab  06:23:55.54 +03:49:52.1  
OGLE-GD-RRLYR-00113  RRab  06:24:31.97 -02:18:33.2  
OGLE-GD-RRLYR-00114  RRab  06:24:33.69 +13:15:44.5  
OGLE-GD-RRLYR-00115  RRab  06:24:37.56 +10:04:20.7  
OGLE-GD-RRLYR-00116  RRab  06:24:49.91 +16:20:35.1  
OGLE-GD-RRLYR-00117  RRd   06:24:51.98 +08:23:02.6  
OGLE-GD-RRLYR-00118  RRab  06:25:44.54 +11:51:23.8  
OGLE-GD-RRLYR-00119  RRc   06:26:25.16 +18:13:25.6  
OGLE-GD-RRLYR-00120  RRab  06:26:34.48 +07:39:57.6  
OGLE-GD-RRLYR-00121  RRc   06:26:38.94 +14:39:13.9  
OGLE-GD-RRLYR-00122  RRab  06:26:55.34 +16:55:09.1  
OGLE-GD-RRLYR-00123  RRab  06:28:05.93 +08:43:08.1  
OGLE-GD-RRLYR-00124  RRab  06:28:10.69 -01:11:22.2  
OGLE-GD-RRLYR-00125  RRab  06:28:36.08 +02:08:34.7  
OGLE-GD-RRLYR-00126  RRab  06:28:37.14 +05:11:25.1  
OGLE-GD-RRLYR-00127  RRc   06:29:02.70 -02:10:08.4  
