# ID       RA         DEC         Period   <mag>  ampl  C Type 
188      17:01:12.76 -30:06:47.4    0.436  --     --    V RR0 
189      17:01:15.80 -30:06:47.1    0.5617 --     --    V RR0 
190      17:01:12.66 -30:06:45.4    0.554  --     --    V RR0 
191      17:01:13.33 -30:06:45.2    0.5857 --     --    V RR0 
192      17:01:24.73 -30:06:45.2    0.2652 16.510 0.314 V RR1 
193      17:01:15.48 -30:06:45.0    0.3198 --     --    V RR1 
194      17:01:16.12 -30:06:44.7    0.505  --     --    V RR0 
195      17:01:11.56 -30:06:44.7    0.47   --     --    V RR1 
196      17:01:09.15 -30:06:44.2    0.3109 --     --    V RR1 
197      17:01:13.14 -30:06:42.6    0.3183 --     --    V RR1 
198      17:01:09.56 -30:06:40.5    0.5763 16.059 0.782 V RR0 
199      17:01:15.63 -30:06:38.7    0.5568 --     --    V RR0 
200      17:01:10.55 -30:06:37.0    0.487  --     --    V RR0 
201      17:01:15.58 -30:06:30.2    0.2507 --     --    V RR1 
202      17:01:13.78 -30:06:29.9    0.2709 16.258 0.439 V RR1 
203      17:01:12.24 -30:06:29.7    0.491  --     --    V RR0 
204      17:01:08.36 -30:06:29.1    0.263  16.224 0.329 V RR1 
205      17:01:11.04 -30:06:28.8    0.552  --     --    V RR0 
206      17:01:12.08 -30:06:26.5    0.640  --     --    V RR0 
207      17:01:11.97 -30:06:24.8    0.265  --     --    V RR1 
208      17:01:11.71 -30:06:24.5    0.5410 --     --    V RR0 
209      17:01:13.82 -30:06:22.9    0.2883 --     --    V RR1 
210      17:01:14.37 -30:06:22.5    0.4370 16.207 0.647 V RR0 
211      17:01:16.68 -30:06:22.4    0.3327 --     --    V RR1 
212      17:01:15.41 -30:06:20.3    0.6072 --     --    V RR0 
213      17:01:12.73 -30:06:16.0    0.5853 --     --    V RR0 
214      17:01:16.41 -30:06:11.2    0.587  16.299 0.776 V RR0 
215      17:01:13.23 -30:06:10.3    0.4616 --     --    V RR0?
216      17:01:11.60 -30:06:09.7    0.2666 --     --    V RR1 
217      17:01:08.03 -30:06:08.6    0.3203 --     --    V RR1 
218      17:01:13.70 -30:06:05.9    0.4447 16.095 1.249 V RR0 
219      17:01:09.74 -30:06:05.2    0.7177 16.032 0.744 V RR0 
220      17:01:12.75 -30:06:03.6    0.496  --     --    V RR0 
221      17:01:03.66 -30:05:27.7    0.3300 16.085 0.425 V RR1 
222      17:01:00.17 -30:04:51.5    0.460  --     --    V RR0 
223      17:01:17.58 -30:04:51.0    0.5325 16.305 1.026 V RR0 
224      17:01:34.93 -30:04:47.9    0.3196 16.952 0.417 V RR1 
225      17:01:17.40 -30:04:45.2    0.2884 15.353 0.252 V RR1 
226      17:01:08.56 -30:04:18.4    0.6301 15.984 0.796 V RR0 
227      17:01:48.13 -30:04:08.0    0.456  17.774 1.290 V RR0 
228      17:01:20.21 -30:04:05.8    0.6417 16.253 0.322 V RR0 
229      17:01:21.03 -30:03:58.6    0.2773 16.106 0.248 V RR1 
241      17:01:12.85 -30:06:59.6    0.525  --     --    V RR0?
243      17:01:12.25 -30:06:46.8    0.4911 --     --    V RR0 
246      17:01:11.03 -30:06:21.4    0.5086 --     --    V RR0 
247      17:01:10.84 -30:07:13.5    0.4928 --     --    V RR0 
249      17:01:10.27 -30:06:42.1    0.2476 --     --    V RR1 
259      17:01:11.73 -30:03:50.3    0.6704 --     --    V RR0?
260      17:01:13.23 -30:06:09.8    0.2540 --     --    V RR1 
261      17:01:12.16 -30:07:23.8    0.5041 --     --    V RR0 
