# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-BLG-RRLYR-41818	RRab	17:01:09.31	-30:07:33.8	14.914	-99.99	-99.99	0.5328120	0.0000003	7000.05885	0.855	0.566	4.185	0.361	2.346	-99.99	-99.99	BLG884.18.44719	NGC6266-NV127	
OGLE-BLG-RRLYR-41820	RRab	17:01:09.39	-30:08:53.0	15.412	-99.99	-99.99	0.4457979	0.0000031	7000.14563	0.605	0.346	4.167	0.126	1.405	-99.99	-99.99	BLG884.18.46020	NGC6266-V44	
OGLE-BLG-RRLYR-41821	RRc	17:01:09.42	-30:07:01.3	14.864	-99.99	-99.99	0.3763763	0.0000017	7000.17678	0.273	0.049	3.958	0.044	5.415	-99.99	-99.99	BLG884.18.44929	NGC6266-NV159	
OGLE-BLG-RRLYR-41823	RRab	17:01:09.47	-30:09:13.2	15.323	-99.99	-99.99	0.4855691	0.0000003	7000.40215	0.813	0.502	4.163	0.374	2.323	-99.99	-99.99	BLG884.18.44506	NGC6266-V31	
OGLE-BLG-RRLYR-41824	RRab	17:01:09.54	-30:06:36.6	14.820	-99.99	-99.99	0.5729392	0.0000008	7000.53503	0.443	0.525	4.508	0.325	2.975	-99.99	-99.99	BLG884.18.45153	NGC6266-NV198	
OGLE-BLG-RRLYR-41826	RRab	17:01:09.57	-30:07:07.6	15.071	-99.99	-99.99	0.5479276	0.0000024	7000.16315	0.458	0.415	4.506	0.184	2.838	-99.99	-99.99	BLG884.18.44880	NGC6266-NV150	
OGLE-BLG-RRLYR-41827	RRab	17:01:09.65	-30:04:44.6	14.786	-99.99	-99.99	0.6526561	0.0000010	7000.62589	0.421	0.461	4.775	0.266	3.392	-99.99	-99.99	BLG884.18.45555	NGC6266-V36	
OGLE-BLG-RRLYR-41828	RRc	17:01:09.70	-30:08:14.6	15.321	-99.99	-99.99	0.3273223	0.0000006	7000.31521	0.288	0.142	4.821	0.077	4.078	-99.99	-99.99	BLG884.18.44598	NGC6266-NV90	
OGLE-BLG-RRLYR-41829	RRc	17:01:09.70	-30:07:04.2	15.083	-99.99	-99.99	0.3151993	0.0000009	7000.29425	0.249	0.093	4.821	0.066	4.369	-99.99	-99.99	BLG884.18.44911	NGC6266-NV154	
OGLE-BLG-RRLYR-41830	RRab	17:01:09.75	-30:06:01.2	14.813	-99.99	-99.99	0.7177961	0.0000023	7000.11309	0.443	0.461	4.867	0.247	3.562	-99.99	-99.99	BLG884.18.45361	NGC6266-NV219	
OGLE-BLG-RRLYR-41832	RRab	17:01:09.93	-30:07:58.3	15.160	-99.99	-99.99	0.5648566	0.0000008	7000.41280	0.469	0.490	4.500	0.301	2.945	-99.99	-99.99	BLG884.18.44638	NGC6266-V82	
OGLE-BLG-RRLYR-41833	RRc	17:01:09.96	-30:06:52.4	14.399	-99.99	-99.99	0.5142958	0.0000012	7000.41665	0.225	0.146	3.404	0.135	6.278	-99.99	-99.99	BLG884.18.44054	NGC6266-NV169	
OGLE-BLG-RRLYR-41835	RRab	17:01:09.98	-30:06:48.4	14.877	-99.99	-99.99	0.6852440	0.0000026	7000.12922	0.434	0.451	4.886	0.241	3.593	-99.99	-99.99	BLG884.18.45036	NGC6266-NV177	
OGLE-BLG-RRLYR-41836	RRc	17:01:10.05	-30:07:36.5	15.223	-99.99	-99.99	0.2736877	0.0000003	7000.20910	0.297	0.170	4.818	0.094	2.907	-99.99	-99.99	BLG884.18.44707	NGC6266-NV125	
OGLE-BLG-RRLYR-41838	RRab	17:01:10.12	-30:07:01.0	15.061	-99.99	-99.99	0.5439515	0.0000006	7000.50500	0.634	0.514	4.329	0.371	2.754	-99.99	-99.99	BLG884.18.44930	NGC6266-NV160	
